"Genus","ACM01","ACM07","ACM11","ACM14","ACM16","ACM21","ACM22","ACS01","ACS02","ACS03","ACS05","ACS07","ACS13","ACS15","ACS16","ACS19","ACS21","ACW01","ACW02","ACW06","ACW09","ACW10","ACW16","ACW19","ACW20","APM02","APM19","APM21","APW05","APW06","TCM01","TCM02","TCM03","TCM04","TCM05","TCM06","TCM09","TCM10","TCM12","TCM13","TCS04","TCS06","TCS09","TCS10","TCS11","TCS13","TCS16","TCS17","TCW01","TCW02","TCW03","TCW07","TCW09","TCW11","TCW12","TCW13","TCW14","TCW17","TPS03","TPS13"
"Baekduia",0,0,0,0,0,0,0,10758.0336229088,12397.5750751507,18714.0624041087,18352.3778855961,6044.11599373017,11234.8537171982,19635.4555208,14461.1465687673,0,21381.8378532931,0,0,0,5204.54594345538,2991.45776296043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20570.4033978809,9483.75716037773,7912.02856904278,17286.350822933,7715.5093896059,21825.3522662702,30777.0230655607,13047.2735962839,27694.3996976217,0,0,0,0,7937.66816107333,0,0,0,0,13018.4353536442,8727.10452371894
"Bailinhaonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748.15622072645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belnapia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.591929890556,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0,1411.39472567762,0,0,488.358037157733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822.596956072046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastomonas",0,853.874260631557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.03448899162,0,0,0,0,0,2597.82128329282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.40890783235,0,0,0,0,0,0,482.262549177295,0,0
"Blautia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.82183663285,0,0,0,0,0,0,0,0,475.249525236612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944.85065467483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium",0,1123.64222758933,0,0,1554.66497440501,0,16338.108276913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18450.171473506,2658.77392598166,4461.02381640147,656.658904239248,0,0,0,12978.509090306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobium",0,0,0,0,0,0,0,4191.14798155129,19087.4128836431,4507.53171518456,9064.20249173857,0,25931.9807422504,0,8630.06094323195,0,0,0,0,0,0,0,0,0,0,0,0,0,3908.83215035306,421.754990049682,0,0,0,0,0,0,0,0,0,0,11574.483691569,13039.8459578891,11826.2587163171,33485.7700606035,21199.9175124698,24012.0880022206,28940.5891979728,17622.3297223763,0,0,0,0,0,0,0,0,0,0,14325.853150935,15541.2226387891
"Brevibacterium",0,1087.67316532829,0,0,0,0,9397.87691430857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13118.9432095761,2632.50361959073,2378.21240243728,0,0,0,0,1523.66983853236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
