"gene_family","ACM01","ACM07","ACM11","ACM14","ACM16","ACM21","ACM22","ACS01","ACS02","ACS03","ACS05","ACS07","ACS13","ACS15","ACS16","ACS19","ACS21","ACW01","ACW02","ACW06","ACW09","ACW10","ACW16","ACW19","ACW20","APM02","APM19","APM21","APW05","APW06","TCM01","TCM02","TCM03","TCM04","TCM05","TCM06","TCM09","TCM10","TCM12","TCM13","TCS04","TCS06","TCS09","TCS10","TCS11","TCS13","TCS16","TCS17","TCW01","TCW02","TCW03","TCW07","TCW09","TCW11","TCW12","TCW13","TCW14","TCW17","TPS03","TPS13"
"tet(33)",0,0,0,0,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,4363,0,0,0,0,0,3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(39)",0,0,0,1191,2646,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,906,0,0,2907,0,2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9257,0,0
"tet(40)",1208,224103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,5809,0,2195,17489,3591,1194,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(44)",5612,13718,5239,0,0,14482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8343,0,1934,31654,8931,2242,0,8754,10370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(A)",0,0,0,0,7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54201,1504,1655,0,0,0,0,0,0,0,0,0,1294,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22834,0,0
"tet(B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,1030,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487,0,0
"tet(C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7271,0,0
"tet(G)",0,0,0,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(K)",0,0,0,0,0,0,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(L)",0,8823,0,0,7292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19437,4793,0,0,0,0,0,22259,0,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2811,0,0
"tet(M)",0,3900,0,0,6183,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(O)",2984,41952,1496,0,0,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3553,3142,0,0,0,0,6352,0,1661,39902,6257,2097,0,0,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(Q)",2199,17813,2114,3473,0,9060,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33587,0,0,0,0,2080,20660,0,8783,107359,7358,5344,6285,4384,3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(W)",4617,23863,1055,4032,4390,19794,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18521,15420,0,0,0,0,19637,2901,6492,66274,7340,2526,9304,3149,11025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(X)",0,0,0,0,4337,0,3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,1797,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tet(Y)",0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
